,TRACK_ID,FILENAME,BOUT_START,BOUT_END,PECKING,PECKING_FRAMES,MOULT,VIDEO_DURATION,BOUT_LENGTH,DATE,GROUP,TIME,GROUP_ID
70,220.0,20240805_1_00035.mp4,2312.0,2357.0,0,0.0,1.0,164.16,46.0,20240805,1,8.416666666666666,cmra
71,223.0,20240805_1_00035.mp4,2378.0,2407.0,2,5.0,0.2631578947368421,164.16,30.0,20240805,1,8.416666666666666,cmra
72,228.0,20240805_1_00035.mp4,2412.0,2455.0,1,13.0,0.7073170731707317,164.16,44.0,20240805,1,8.416666666666666,cmra
73,229.0,20240805_1_00035.mp4,2451.0,2677.0,1,3.0,0.23636363636363636,164.16,227.0,20240805,1,8.416666666666666,cmra
74,231.0,20240805_1_00035.mp4,2506.0,2626.0,1,11.0,0.5443037974683544,164.16,121.0,20240805,1,8.416666666666666,cmra
75,241.0,20240805_1_00035.mp4,2537.0,2635.0,2,8.0,0.6933333333333334,164.16,99.0,20240805,1,8.416666666666666,cmra
76,245.0,20240805_1_00035.mp4,2549.0,2630.0,1,3.0,0.45569620253164556,164.16,82.0,20240805,1,8.416666666666666,cmra
77,247.0,20240805_1_00035.mp4,2659.0,2743.0,0,0.0,0.16901408450704225,164.16,85.0,20240805,1,8.416666666666666,cmra
78,254.0,20240805_1_00035.mp4,2672.0,2839.0,1,3.0,0.2857142857142857,164.16,168.0,20240805,1,8.416666666666666,cmra
79,255.0,20240805_1_00035.mp4,2673.0,2715.0,1,2.0,0.8181818181818182,164.16,43.0,20240805,1,8.416666666666666,cmra
80,258.0,20240805_1_00035.mp4,2684.0,2687.0,1,2.0,1.0,164.16,4.0,20240805,1,8.416666666666666,cmra
81,259.0,20240805_1_00035.mp4,2694.0,2850.0,1,8.0,0.5643564356435643,164.16,157.0,20240805,1,8.416666666666666,cmra
82,263.0,20240805_1_00035.mp4,2725.0,2879.0,3,73.0,0.7380952380952381,164.16,155.0,20240805,1,8.416666666666666,cmra
83,264.0,20240805_1_00035.mp4,2731.0,2734.0,1,3.0,0.25,164.16,4.0,20240805,1,8.416666666666666,cmra
84,268.0,20240805_1_00035.mp4,2742.0,2891.0,5,23.0,0.35833333333333334,164.16,150.0,20240805,1,8.416666666666666,cmra
85,269.0,20240805_1_00035.mp4,2743.0,2751.0,0,0.0,0.8,164.16,9.0,20240805,1,8.416666666666666,cmra
86,274.0,20240805_1_00035.mp4,2753.0,2772.0,0,0.0,1.0,164.16,20.0,20240805,1,8.416666666666666,cmra
87,278.0,20240805_1_00035.mp4,2761.0,2765.0,0,0.0,1.0,164.16,5.0,20240805,1,8.416666666666666,cmra
88,279.0,20240805_1_00035.mp4,2762.0,2907.0,0,0.0,0.30985915492957744,164.16,146.0,20240805,1,8.416666666666666,cmra
89,281.0,20240805_1_00035.mp4,2776.0,2856.0,3,20.0,0.7761194029850746,164.16,81.0,20240805,1,8.416666666666666,cmra
90,285.0,20240805_1_00035.mp4,2819.0,2828.0,1,3.0,0.6666666666666666,164.16,10.0,20240805,1,8.416666666666666,cmra
91,287.0,20240805_1_00035.mp4,2856.0,2873.0,0,0.0,0.16666666666666666,164.16,18.0,20240805,1,8.416666666666666,cmra
92,288.0,20240805_1_00035.mp4,2866.0,3077.0,0,0.0,0.7262569832402235,164.16,212.0,20240805,1,8.416666666666666,cmra
93,289.0,20240805_1_00035.mp4,2885.0,2976.0,2,4.0,0.6774193548387096,164.16,92.0,20240805,1,8.416666666666666,cmra
94,292.0,20240805_1_00035.mp4,2902.0,2926.0,0,0.0,0.84,164.16,25.0,20240805,1,8.416666666666666,cmra
95,304.0,20240805_1_00035.mp4,2911.0,3002.0,1,2.0,0.7093023255813954,164.16,92.0,20240805,1,8.416666666666666,cmra
96,306.0,20240805_1_00035.mp4,2913.0,2947.0,0,0.0,1.0,164.16,35.0,20240805,1,8.416666666666666,cmra
97,309.0,20240805_1_00035.mp4,2927.0,2979.0,2,11.0,0.4838709677419355,164.16,53.0,20240805,1,8.416666666666666,cmra
98,312.0,20240805_1_00035.mp4,2950.0,2950.0,0,0.0,0.0,164.16,1.0,20240805,1,8.416666666666666,cmra
99,319.0,20240805_1_00035.mp4,2958.0,2958.0,0,0.0,0.0,164.16,1.0,20240805,1,8.416666666666666,cmra
100,320.0,20240805_1_00035.mp4,2960.0,3508.0,9,70.0,0.3884514435695538,164.16,549.0,20240805,1,8.416666666666666,cmra
101,323.0,20240805_1_00035.mp4,2997.0,3098.0,0,0.0,0.35294117647058826,164.16,102.0,20240805,1,8.416666666666666,cmra
102,325.0,20240805_1_00035.mp4,3016.0,3020.0,0,0.0,0.0,164.16,5.0,20240805,1,8.416666666666666,cmra
103,326.0,20240805_1_00035.mp4,3018.0,3180.0,9,90.0,0.09929078014184398,164.16,163.0,20240805,1,8.416666666666666,cmra
104,331.0,20240805_1_00035.mp4,3040.0,3065.0,0,0.0,0.7272727272727273,164.16,26.0,20240805,1,8.416666666666666,cmra
105,332.0,20240805_1_00035.mp4,3046.0,3086.0,1,6.0,0.034482758620689655,164.16,41.0,20240805,1,8.416666666666666,cmra
106,334.0,20240805_1_00035.mp4,3054.0,3126.0,1,2.0,0.28205128205128205,164.16,73.0,20240805,1,8.416666666666666,cmra
107,335.0,20240805_1_00035.mp4,3093.0,3505.0,7,105.0,0.4961832061068702,164.16,413.0,20240805,1,8.416666666666666,cmra
108,345.0,20240805_1_00035.mp4,3109.0,3126.0,0,0.0,1.0,164.16,18.0,20240805,1,8.416666666666666,cmra
109,346.0,20240805_1_00035.mp4,3119.0,3137.0,1,8.0,0.25,164.16,19.0,20240805,1,8.416666666666666,cmra
110,347.0,20240805_1_00035.mp4,3125.0,3270.0,1,10.0,0.7205882352941176,164.16,146.0,20240805,1,8.416666666666666,cmra
111,352.0,20240805_1_00035.mp4,3133.0,3179.0,1,5.0,0.8611111111111112,164.16,47.0,20240805,1,8.416666666666666,cmra
112,353.0,20240805_1_00035.mp4,3145.0,3155.0,0,0.0,0.0,164.16,11.0,20240805,1,8.416666666666666,cmra
113,355.0,20240805_1_00035.mp4,3196.0,3233.0,1,11.0,0.7241379310344828,164.16,38.0,20240805,1,8.416666666666666,cmra
114,359.0,20240805_1_00035.mp4,3232.0,3294.0,1,4.0,0.7419354838709677,164.16,63.0,20240805,1,8.416666666666666,cmra
115,362.0,20240805_1_00035.mp4,3250.0,3293.0,0,0.0,0.6,164.16,44.0,20240805,1,8.416666666666666,cmra
116,364.0,20240805_1_00035.mp4,3265.0,3300.0,0,0.0,0.9,164.16,36.0,20240805,1,8.416666666666666,cmra
117,365.0,20240805_1_00035.mp4,3276.0,3487.0,5,48.0,0.36645962732919257,164.16,212.0,20240805,1,8.416666666666666,cmra
118,370.0,20240805_1_00035.mp4,3322.0,3349.0,0,0.0,0.7857142857142857,164.16,28.0,20240805,1,8.416666666666666,cmra
119,375.0,20240805_1_00035.mp4,3335.0,3382.0,0,0.0,0.9583333333333334,164.16,48.0,20240805,1,8.416666666666666,cmra
120,377.0,20240805_1_00035.mp4,3352.0,3470.0,1,3.0,0.7948717948717948,164.16,119.0,20240805,1,8.416666666666666,cmra
121,389.0,20240805_1_00035.mp4,3472.0,3496.0,0,0.0,0.9130434782608695,164.16,25.0,20240805,1,8.416666666666666,cmra
122,391.0,20240805_1_00035.mp4,3488.0,3490.0,0,0.0,1.0,164.16,3.0,20240805,1,8.416666666666666,cmra
123,395.0,20240805_1_00035.mp4,3587.0,3615.0,0,0.0,0.4482758620689655,164.16,29.0,20240805,1,8.416666666666666,cmra
124,407.0,20240805_1_00035.mp4,3656.0,3746.0,5,19.0,0.3023255813953488,164.16,91.0,20240805,1,8.416666666666666,cmra
125,409.0,20240805_1_00035.mp4,3658.0,3658.0,0,0.0,1.0,164.16,1.0,20240805,1,8.416666666666666,cmra
126,410.0,20240805_1_00035.mp4,3659.0,3891.0,1,2.0,0.9310344827586207,164.16,233.0,20240805,1,8.416666666666666,cmra
127,413.0,20240805_1_00035.mp4,3661.0,3705.0,0,0.0,0.7777777777777778,164.16,45.0,20240805,1,8.416666666666666,cmra
128,416.0,20240805_1_00035.mp4,3662.0,3667.0,0,0.0,0.6,164.16,6.0,20240805,1,8.416666666666666,cmra
