,Videoname,Birds_per_video,Frames_per_video
319,20241215_5_00915,4,2
320,20241215_5_00916,1,1
321,20241215_5_00917,32,17
322,20241216_training_00924,2,2
323,20241216_training_00927,6,2
324,20241216_training_00928,10,10
325,20241216_training_00931,1,1
326,20241216_training_00933,2,2
327,20241217_training_00942,1,1
328,20241217_training_00943,2,2
329,20241217_training_00948,2,2
330,20241217_training_00949,2,1
331,20241217_training_00952,2,2
332,20241217_training_00954,2,2
333,20241217_training_00968,1,1
334,20241217_training_00972,13,11
335,20241217_training_00973,4,4
336,20241217_training_00974,2,2
337,20241217_training_00975,1,1
338,20241217_training_00980,4,4
339,20241217_training_00984,1,1
340,20241218_4_01002,13,7
341,20241218_5_01013,1,1
342,20241218_7_01021,4,4
343,20241218_training_01030,4,3
344,20241218_training_01037,1,1
345,20241218_training_01046,1,1
346,20241218_training_01050,1,1
347,20241218_training_01054,1,1
348,20241218_training_01058,12,9
349,20241218_training_01059,1,1
350,20241218_training_01060,2,2
351,20241218_training_01061,9,4
352,20241218_training_01066,2,1
353,20241218_training_01067,1,1
354,20241219_training_01075,2,2
355,20241219_training_01080,5,5
356,20241219_training_01082,1,1
357,20241219_training_01085,3,3
358,20241219_training_01104,1,1
359,20241219_training_01107,1,1
360,20241219_training_01109,1,1
361,20241219_training_01110,5,5
362,20241219_training_01131,1,1
363,20241219_training_01132,1,1
364,20241219_training_01133,6,5
365,20241219_training_01134,2,2
366,20241219_training_01135,4,4
367,20241219_training_01136,1,1
368,20241219_training_01144,1,1
369,20241219_training_01145,2,2
370,20241220_2_01164,1,1
371,20241220_2_01168,2,2
372,20241220_2_01169,1,1
373,20241220_2_01170,1,1
374,20241220_3_01174,1,1
375,20241220_6_01190,2,2
376,20241220_6_01192,1,1
377,20241220_7_01199,1,1
378,20241220_7_01200,6,6
379,20241220_training_01180,8,4
380,20241220_training_01181,2,2
381,20241220_training_01207,3,3
382,20241220_training_01210,1,1
383,20241220_training_01216,1,1
384,20241220_training_01217,4,4
385,20241220_training_01218,2,2
386,20241220_training_01222,1,1
387,20241220_training_01227,1,1
388,20241220_training_01230,6,4
389,20241220_training_01231,4,3
390,20241220_training_01232,1,1
391,20241223_1_01235,6,3
392,20241223_1_01236,3,3
393,20241223_1_01237,2,2
394,20241223_1_01238,1,1
395,20241223_2_01241,2,2
396,20241223_2_01242,8,5
397,20241223_2_01243,18,11
398,20241223_2_01244,9,8
399,20241223_2_01245,1,1
400,20241223_4_01255,1,1
401,20241223_4_01257,1,1
402,20241223_5_01262,1,1
403,20241223_5_01264,3,3
404,20241223_5_01267,1,1
405,20241223_7_01271,3,3
406,20241223_training_01266,1,1
407,20241223_training_01280,2,2
408,20241223_training_01281,1,1
